,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD,ADA-AUD,BCH-AUD,BTC-AUD,ETH-AUD,SOL-AUD,XRP-AUD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-09,,,420.29852294921875,,,,,,420.29852294921875,,,,,,420.5227355957031,,,,,,398.81256103515625,,,,,,400.1112365722656,,,,,,28006016,,,
2014-11-10,,,425.5671691894531,,,,,,425.5671691894531,,,,,,434.8717956542969,,,,,,412.6497497558594,,,,,,419.1426696777344,,,,,,35316748,,,
2014-11-11,,,422.4437255859375,,,,,,422.4437255859375,,,,,,430.8040466308594,,,,,,420.79473876953125,,,,,,424.3296203613281,,,,,,18197266,,,
2014-11-12,,,486.4044494628906,,,,,,486.4044494628906,,,,,,492.6263732910156,,,,,,422.97125244140625,,,,,,422.77685546875,,,,,,52576022,,,
2014-11-13,,,483.4367370605469,,,,,,483.4367370605469,,,,,,525.5755004882812,,,,,,460.1617431640625,,,,,,490.6672058105469,,,,,,67729519,,,
2014-11-14,,,455.0131530761719,,,,,,455.0131530761719,,,,,,481.8434753417969,,,,,,442.6423645019531,,,,,,480.7732849121094,,,,,,33843303,,,
2014-11-15,,,430.21044921875,,,,,,430.21044921875,,,,,,463.8316650390625,,,,,,424.3486022949219,,,,,,457.1085510253906,,,,,,17988677,,,
2014-11-16,,,443.2430419921875,,,,,,443.2430419921875,,,,,,446.9850158691406,,,,,,428.4593200683594,,,,,,428.6057434082031,,,,,,13604845,,,
2014-11-17,,,444.9896545410156,,,,,,444.9896545410156,,,,,,469.28155517578125,,,,,,433.2132263183594,,,,,,443.7767028808594,,,,,,47689869,,,
2014-11-18,,,430.91534423828125,,,,,,430.91534423828125,,,,,,450.7259521484375,,,,,,425.88592529296875,,,,,,445.4226989746094,,,,,,37007580,,,
2014-11-19,,,442.4029235839844,,,,,,442.4029235839844,,,,,,446.4891357421875,,,,,,429.5680236816406,,,,,,429.4200134277344,,,,,,22008603,,,
2014-11-20,,,415.1275939941406,,,,,,415.1275939941406,,,,,,443.9053955078125,,,,,,413.8990783691406,,,,,,442.1146240234375,,,,,,29272854,,,
2014-11-21,,,404.9024658203125,,,,,,404.9024658203125,,,,,,414.8840637207031,,,,,,398.9241943359375,,,,,,415.1728515625,,,,,,34449048,,,
2014-11-22,,,407.2937316894531,,,,,,407.2937316894531,,,,,,421.0513610839844,,,,,,404.9371032714844,,,,,,405.77496337890625,,,,,,17626082,,,
2014-11-23,,,423.56878662109375,,,,,,423.56878662109375,,,,,,427.6842346191406,,,,,,407.5879821777344,,,,,,407.5879821777344,,,,,,17459783,,,
2014-11-24,,,438.2569885253906,,,,,,438.2569885253906,,,,,,449.61566162109375,,,,,,422.3810729980469,,,,,,422.84857177734375,,,,,,35965233,,,
2014-11-25,,,438.6956481933594,,,,,,438.6956481933594,,,,,,462.1250305175781,,,,,,439.47467041015625,,,,,,438.2395324707031,,,,,,29736092,,,
2014-11-26,,,431.852294921875,,,,,,431.852294921875,,,,,,442.32110595703125,,,,,,428.60693359375,,,,,,439.47991943359375,,,,,,21807386,,,
2014-11-27,,,433.57965087890625,,,,,,433.57965087890625,,,,,,435.7865295410156,,,,,,432.1037292480469,,,,,,434.3517150878906,,,,,,10260415,,,
2014-11-28,,,442.7746276855469,,,,,,442.7746276855469,,,,,,449.9212646484375,,,,,,420.7712097167969,,,,,,433.2324523925781,,,,,,26989532,,,
2014-11-29,,,441.65020751953125,,,,,,441.65020751953125,,,,,,455.8939208984375,,,,,,437.7146301269531,,,,,,442.42767333984375,,,,,,18084686,,,
2014-11-30,,,447.9229736328125,,,,,,447.9229736328125,,,,,,449.9259033203125,,,,,,439.083740234375,,,,,,441.67254638671875,,,,,,10893886,,,
2014-12-01,,,447.3811340332031,,,,,,447.3811340332031,,,,,,454.7374572753906,,,,,,446.448974609375,,,,,,448.1623229980469,,,,,,13876371,,,
2014-12-02,,,450.8335266113281,,,,,,450.8335266113281,,,,,,453.0352783203125,,,,,,445.7508544921875,,,,,,447.3870544433594,,,,,,14618231,,,
2014-12-03,,,446.7063903808594,,,,,,446.7063903808594,,,,,,455.8205261230469,,,,,,445.2789306640625,,,,,,451.3147277832031,,,,,,15890530,,,
2014-12-04,,,440.73931884765625,,,,,,440.73931884765625,,,,,,451.26324462890625,,,,,,438.3824157714844,,,,,,447.5497131347656,,,,,,17326020,,,
2014-12-05,,,452.7862548828125,,,,,,452.7862548828125,,,,,,455.6500549316406,,,,,,436.1507568359375,,,,,,440.546142578125,,,,,,18240779,,,
2014-12-06,,,450.3003845214844,,,,,,450.3003845214844,,,,,,454.701416015625,,,,,,445.6866455078125,,,,,,452.6697082519531,,,,,,8421627,,,
2014-12-07,,,451.5408630371094,,,,,,451.5408630371094,,,,,,433.61602783203125,,,,,,448.4861145019531,,,,,,450.36163330078125,,,,,,7814674,,,
2014-12-08,,,436.1400451660156,,,,,,436.1400451660156,,,,,,452.9924011230469,,,,,,436.27001953125,,,,,,451.3843688964844,,,,,,22775006,,,
2014-12-09,,,424.61602783203125,,,,,,424.61602783203125,,,,,,439.4420166015625,,,,,,414.8538513183594,,,,,,436.1231384277344,,,,,,39681133,,,
2014-12-10,,,415.8542175292969,,,,,,415.8542175292969,,,,,,424.661376953125,,,,,,415.8542175292969,,,,,,424.5991516113281,,,,,,19723496,,,
2014-12-11,,,425.216552734375,,,,,,425.216552734375,,,,,,434.1145935058594,,,,,,406.09326171875,,,,,,413.4229736328125,,,,,,39344049,,,
2014-12-12,,,427.7384033203125,,,,,,427.7384033203125,,,,,,427.8581848144531,,,,,,422.4612731933594,,,,,,425.6132507324219,,,,,,20613686,,,
2014-12-13,,,421.47052001953125,,,,,,421.47052001953125,,,,,,427.5430908203125,,,,,,420.51446533203125,,,,,,427.5430908203125,,,,,,14166343,,,
2014-12-14,,,428.349365234375,,,,,,428.349365234375,,,,,,428.3137512207031,,,,,,419.0948791503906,,,,,,420.6830749511719,,,,,,15123888,,,
2014-12-15,,,420.63946533203125,,,,,,420.63946533203125,,,,,,428.2071533203125,,,,,,420.1900329589844,,,,,,428.01922607421875,,,,,,21028258,,,
2014-12-16,,,397.8856506347656,,,,,,397.8856506347656,,,,,,421.0603942871094,,,,,,397.8856506347656,,,,,,421.0389709472656,,,,,,37548540,,,
2014-12-17,,,393.618896484375,,,,,,393.618896484375,,,,,,406.2206726074219,,,,,,385.3656311035156,,,,,,397.6338195800781,,,,,,46243107,,,
2014-12-18,,,381.2389831542969,,,,,,381.2389831542969,,,,,,396.89678955078125,,,,,,372.7419738769531,,,,,,393.6300048828125,,,,,,47959109,,,
2014-12-19,,,390.42254638671875,,,,,,390.42254638671875,,,,,,391.2701110839844,,,,,,375.069091796875,,,,,,380.9732971191406,,,,,,29263113,,,
2014-12-20,,,405.3015441894531,,,,,,405.3015441894531,,,,,,405.75482177734375,,,,,,388.2127685546875,,,,,,390.14739990234375,,,,,,25619334,,,
2014-12-21,,,393.8656921386719,,,,,,393.8656921386719,,,,,,404.8998718261719,,,,,,391.724609375,,,,,,404.79425048828125,,,,,,18668795,,,
2014-12-22,,,408.8776550292969,,,,,,408.8776550292969,,,,,,409.15625,,,,,,392.62957763671875,,,,,,394.14190673828125,,,,,,27491807,,,
2014-12-23,,,412.6951904296875,,,,,,412.6951904296875,,,,,,415.5795593261719,,,,,,405.56414794921875,,,,,,409.0390625,,,,,,20444307,,,
2014-12-24,,,397.60107421875,,,,,,397.60107421875,,,,,,413.0565185546875,,,,,,396.443359375,,,,,,412.46453857421875,,,,,,18604906,,,
2014-12-25,,,393.5455017089844,,,,,,393.5455017089844,,,,,,397.8668518066406,,,,,,390.7273254394531,,,,,,397.2953796386719,,,,,,12192993,,,
2014-12-26,,,404.09613037109375,,,,,,404.09613037109375,,,,,,408.2582092285156,,,,,,389.7427673339844,,,,,,393.7231750488281,,,,,,20222428,,,
2014-12-27,,,389.2335205078125,,,,,,389.2335205078125,,,,,,405.3124084472656,,,,,,385.2495422363281,,,,,,403.6759033203125,,,,,,18712508,,,
2014-12-28,,,391.1219482421875,,,,,,391.1219482421875,,,,,,394.3659973144531,,,,,,383.3370361328125,,,,,,389.5995178222656,,,,,,14396005,,,
2014-12-29,,,384.4933776855469,,,,,,384.4933776855469,,,,,,394.7577819824219,,,,,,384.0469970703125,,,,,,391.6915283203125,,,,,,15128505,,,
2014-12-30,,,379.82763671875,,,,,,379.82763671875,,,,,,387.45721435546875,,,,,,378.9013977050781,,,,,,384.5536193847656,,,,,,15313898,,,
2014-12-31,,,392.0090637207031,,,,,,392.0090637207031,,,,,,392.0090637207031,,,,,,379.7882080078125,,,,,,380.04400634765625,,,,,,17070152,,,
